Headers;Contents
Art. 83. Nieostrożne obchodzenie się z materiałami wybuchowymi lub substancjami promieniotwórczymi;"§ 1. Kto nieostrożnie obchodzi się z materiałami wybuchowymi, łatwo zapalnymi lub substancjami promieniotwórczymi albo wykracza przeciwko przepisom o wyrobie, sprzedaży, przechowywaniu, używaniu lub przewożeniu takich materiałów,
podlega karze aresztu, grzywny albo karze nagany.
§ 2. W razie popełnienia wykroczenia można orzec przepadek przedmiotów stanowiących przedmiot wykroczenia."
Art. 84. Niedopełnienie obowiązków w zakresie oznaczenia przeszkody w ruchu drogowym;"Kto wbrew obowiązkowi nie oznacza w sposób odpowiadający wymaganiom i łatwo dostrzegalny, zarówno w dzień, jak i w porze nocnej, jakiejkolwiek przeszkody w ruchu drogowym, urządzenia lub przedmiotu znajdujących się na drodze lub też miejsca prowadzonych robót, jeżeli to może zagrozić bezpieczeństwu ruchu albo utrudnić ruch na drodze,
podlega karze aresztu albo grzywny."
Art. 85. Samowolne ustawianie, niszczenie i uszkadzanie znaków, sygnałów ostrzegawczych lub zabezpieczających;"§ 1. Kto samowolnie ustawia, niszczy, uszkadza, usuwa, włącza lub wyłącza znak, sygnał, urządzenie ostrzegawcze lub zabezpieczające albo zmienia ich położenie, zasłania je lub czyni niewidocznymi,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Tej samej karze podlega, kto samowolnie niszczy, uszkadza, usuwa lub ustawia znak turystyczny.
§ 3. W razie popełnienia wykroczenia określonego w § 1 lub 2 można orzec obowiązek zapłaty równowartości zniszczonego lub uszkodzonego przedmiotu albo obowiązek przywrócenia do stanu poprzedniego."
Art. 85a. Naruszanie przepisów dotyczących sposobu znakowania dróg wewnętrznych;"§ 1. Kto narusza przepisy dotyczące sposobu znakowania dróg wewnętrznych, podlega karze grzywny.
§ 2. Tej samej karze za czyn określony w § 1 podlega ten, kto zlecił wadliwe dokonanie tej czynności."
Art. 86. Spowodowanie zagrożenia bezpieczeństwa w ruchu drogowym;"§ 1. Kto na drodze publicznej, w strefie zamieszkania lub strefie ruchu, nie zachowując należytej ostrożności, powoduje zagrożenie bezpieczeństwa w ruchu drogowym,
podlega karze grzywny.
§ 1a. Jeżeli następstwem wykroczenia, o którym mowa w § 1, jest spowodowanie naruszenia czynności narządu ciała lub rozstrój zdrowia innej osoby, sprawca
podlega karze grzywny w wysokości nie niższej niż 1500 złotych.
§ 2. Kto dopuszcza się wykroczenia określonego w § 1, znajdując się w stanie po użyciu alkoholu lub podobnie działającego środka,
podlega karze aresztu, ograniczenia wolności albo grzywny w wysokości nie niższej niż 2500 złotych.
§ 3. W razie popełnienia wykroczenia określonego w § 1 przez osobę prowadzącą pojazd można orzec zakaz prowadzenia pojazdów."
Art. 86a. Naruszanie zasad kierowania hulajnogą elektryczną lub urządzeniem wspomagającym ruch;"Kto, kierując rowerem, hulajnogą elektryczną lub urządzeniem transportu osobistego albo poruszając się przy użyciu urządzenia wspomagającego ruch na drodze dla pieszych, nie porusza się z prędkością zbliżoną do prędkości pieszego lub nie ustępuje pierwszeństwa pieszemu,
podlega karze grzywny albo karze nagany."
Art. 86b. Naruszenie przepisów ruchu drogowego przez prowadzącego pojazd mechaniczny;"§ 1. Kto na drodze publicznej, w strefie zamieszkania lub strefie ruchu, prowadząc pojazd mechaniczny:
1) wbrew obowiązkowi nie ustępuje pierwszeństwa pieszemu,
2) nie zatrzymuje pojazdu w celu umożliwienia przejścia przez jezdnię osobie niepełnosprawnej, używającej specjalnego znaku, lub osobie o widocznej ograniczonej sprawności ruchowej,
3) wyprzedza pojazd na przejściu dla pieszych, na którym ruch nie jest kierowany, lub bezpośrednio przed tym przejściem,
4) omija pojazd, który jechał w tym samym kierunku, lecz zatrzymał się w celu ustąpienia pierwszeństwa pieszemu,
5) narusza zakaz jazdy wzdłuż po drodze dla pieszych lub przejściu dla pieszych,
podlega karze grzywny nie niższej niż 1500 złotych.
§ 2. Kto dopuszcza się wykroczenia określonego w § 1, prowadząc inny pojazd niż określony w tym przepisie,
podlega karze grzywny albo karze nagany.
§ 3. W razie popełnienia wykroczenia określonego w § 1 można orzec zakaz prowadzenia pojazdów, w szczególności, jeżeli sprawca wykroczenia spowodował zagrożenie bezpieczeństwa pieszego."
Art. 87. Prowadzenie pojazdu w stanie po użyciu alkoholu lub podobnie działającego środka;"§ 1. Kto, znajdując się w stanie po użyciu alkoholu lub podobnie działającego środka, prowadzi pojazd mechaniczny w ruchu lądowym, wodnym lub powietrznym,
podlega karze aresztu albo grzywny nie niższej niż 2500 złotych.
§ 1a. Tej samej karze podlega, kto, znajdując się w stanie nietrzeźwości lub pod wpływem podobnie działającego środka, prowadzi na drodze publicznej, w strefie zamieszkania lub w strefie ruchu inny pojazd niż określony w § 1.
§ 2. Kto, znajdując się w stanie po użyciu alkoholu lub podobnie działającego środka, prowadzi na drodze publicznej, w strefie zamieszkania lub strefie ruchu inny pojazd niż określony w § 1,
podlega karze aresztu albo karze grzywny nie niższej niż 1000 złotych.
§ 3. W razie popełnienia wykroczenia określonego w § 1 orzeka się zakaz prowadzenia pojazdów.
§ 4. W razie popełnienia wykroczenia określonego w § 1a lub 2 można orzec zakaz prowadzenia pojazdów innych niż określone w § 1."
Art. 88. Prowadzenie pojazdu bez wymaganych świateł lub pozostawienie pojazdu bez wymaganego oświetlenia;"Kto na drodze publicznej, w strefie zamieszkania lub strefie ruchu prowadzi pojazd bez wymaganych przepisami świateł lub pozostawia pojazd bez wymaganego przepisami oświetlenia,
podlega karze grzywny."
Art. 89. Dopuszczenie do przebywania małoletniego na drodze publicznej lub torach pojazdu szynowego;"Kto, mając obowiązek opieki lub nadzoru nad małoletnim do lat 7, dopuszcza do przebywania małoletniego na drodze publicznej lub na torach pojazdu szynowego,
podlega karze grzywny albo karze nagany."
Art. 90. Tamowanie lub utrudnianie ruchu na drodze publicznej, w strefie zamieszkania lub strefie ruchu;"§ 1. Kto tamuje lub utrudnia ruch na drodze publicznej, w strefie zamieszkania lub strefie ruchu,
podlega karze grzywny do 500 złotych lub karze nagany.
§ 2. Jeżeli wykroczenia, o którym mowa w § 1, dopuszcza się prowadzący pojazd mechaniczny,
podlega karze grzywny nie niższej niż 500 złotych."
Art. 91. Zanieczyszczanie drogi publicznej lub spowodowanie na niej utrudnienia w ruchu;"Kto zanieczyszcza drogę publiczną lub na tej drodze pozostawia pojazd lub inny przedmiot albo zwierzę w okolicznościach, w których może to spowodować niebezpieczeństwo lub stanowić utrudnienie w ruchu drogowym,
podlega karze grzywny do 1.500 złotych albo karze nagany."
Art. 92. Niestosowanie się do znaków drogowych, sygnałów drogowych lub poleceń kierującego ruchem;"§ 1. Kto nie stosuje się do znaku lub sygnału drogowego albo do sygnału lub polecenia osoby uprawnionej do kierowania ruchem lub do kontroli ruchu drogowego,
podlega karze grzywny albo karze nagany.
§ 2. Kto w celu uniknięcia kontroli nie stosuje się do sygnału osoby uprawnionej do kontroli ruchu drogowego, nakazującego zatrzymanie pojazdu,
podlega karze aresztu albo grzywny.
§ 3. W razie popełnienia wykroczenia określonego w § 2 można orzec zakaz prowadzenia pojazdów."
Art. 92a. Niestosowanie się przez prowadzącego pojazd do ograniczenia prędkości;"§ 1. Kto, prowadząc pojazd, nie stosuje się do ograniczenia prędkości określonego ustawą lub znakiem drogowym,
podlega karze grzywny.
§ 2. Kto, prowadząc pojazd mechaniczny, nie stosuje się do ograniczenia prędkości określonego ustawą lub znakiem drogowym, przekraczając je o ponad 30 km/h,
podlega karze grzywny nie niższej niż 800 złotych."
Art. 92b. Naruszenie zakazu wyprzedzania;"Kto, prowadząc pojazd mechaniczny, nie stosuje się do zakazu wyprzedzania określonego ustawą lub znakiem drogowym,
podlega karze grzywny nie niższej niż 1000 złotych."
Art. 93. Nieudzielenie przez uczestnika wypadku drogowego pomocy ofierze wypadku;"§ 1. Prowadzący pojazd, który, uczestnicząc w wypadku drogowym, nie udziela niezwłocznej pomocy ofierze wypadku,
podlega karze aresztu albo grzywny.
§ 2. W razie popełnienia wykroczenia o którym mowa w § 1 orzeka się zakaz prowadzenia pojazdów."
Art. 94. Prowadzenie pojazdu bez uprawnień lub prowadzenie pojazdu niedopuszczonego do ruchu;"§ 1. Kto na drodze publicznej, w strefie zamieszkania lub strefie ruchu prowadzi pojazd mechaniczny, nie mając do tego uprawnienia,
podlega karze aresztu, ograniczenia wolności albo grzywny nie niższej niż 1500 złotych.
§ 1a. Kto na drodze publicznej, w strefie zamieszkania lub strefie ruchu prowadzi pojazd inny niż mechaniczny, nie mając do tego uprawnienia,
podlega karze nagany albo karze grzywny do 1500 złotych.
§ 2. Tej samej karze podlega, kto prowadzi na drodze publicznej, w strefie zamieszkania lub strefie ruchu pojazd pomimo braku dopuszczenia pojazdu do ruchu.
§ 3. W razie popełnienia wykroczenia, o którym mowa w § 1, orzeka się zakaz prowadzenia pojazdów."
Art. 95. Prowadzenie pojazdu bez posiadania przy sobie wymaganych dokumentów;"§ 1. Kto prowadzi na drodze publicznej, w strefie zamieszkania lub strefie ruchu pojazd, nie mając przy sobie wymaganych dokumentów,
podlega karze grzywny do 250 złotych albo karze nagany.

Art. 95 prowadzenie pojazdu bez posiadania przy sobie wymaganych dokumentów, zgodnie z art.77 niezachowywanie środków ostrożności przy trzymaniu zwierzęcia ust. 1, z dniem wdrożenia rozwiązań technicznych umożliwiających świadczenie usług określonych w ustawie – ogłoszonym w komunikacie w M.P. przez ministra właściwego do spraw informatyzacji w porozumieniu z ministrem właściwym do spraw transportu otrzyma następujące brzmienie:
1. Kto prowadzi na drodze publicznej, w strefie zamieszkania lub strefie ruchu pojazd, nie mając przy sobie wymaganych dokumentów,
podlega karze grzywny do 250 złotych albo karze nagany.
§ 2. Tej samej karze podlega, kto na drodze publicznej, w strefie zamieszkania lub strefie ruchu prowadzi pojazd mechaniczny pomimo upływu okresu ważności tymczasowego elektronicznego prawa jazdy, o którym mowa w art. 4 dokumenty stwierdzające uprawnienia do kierowania pojazdami ust. 1a ustawy z dnia 5 stycznia 2011 r. o kierujących pojazdami (Dz. U. z 2023 r. poz. 622, 1123, 1234, 1312 i 1560), a przed wydaniem prawa jazdy."
Art. 95a. Posługiwanie się dowodem rejestracyjnym zawierającym nieprawdziwe dane;Kto posługuje się dowodem rejestracyjnym zawierającym dane o spełnieniu przez pojazd wymagań technicznych określonych w przepisach ustawy z dnia 11 marca 2004 r. o podatku od towarów i usług (Dz. U. z 2023 r. poz. 1570 i 1598) niezgodne ze stanem faktycznym, podlega karze grzywny do 500 zł.
Art. 96. Dopuszczenie do prowadzenia pojazdu wbrew przepisom prawa;"§ 1. Właściciel, posiadacz, użytkownik lub prowadzący pojazd, który na drodze publicznej, w strefie zamieszkania lub strefie ruchu dopuszcza:
1) do prowadzenia pojazdu osobę niemającą sprawności fizycznej lub psychicznej w stopniu umożliwiającym należyte prowadzenie pojazdu,
2) do prowadzenia pojazdu osobę niemającą wymaganych uprawnień,
3) do prowadzenia pojazdu osobę znajdującą się w stanie po użyciu alkoholu lub podobnie działającego środka,
4) pojazd do jazdy pomimo braku wymaganych dokumentów stwierdzających dopuszczenie pojazdu do ruchu,
5) pojazd do jazdy, pomimo że pojazd nie jest należycie zaopatrzony w wymagane urządzenia i przyrządy albo pomimo że nie nadają się one do spełnienia swego przeznaczenia,
6) do korzystania z pojazdu samochodowego w sposób niezgodny z jego przeznaczeniem,
podlega karze grzywny.
§ 2. Tej samej karze za czyny określone w § 1 pkt 1, 3-6 oraz za nieumyślne dopuszczenie do prowadzenia pojazdu na drodze publicznej przez osobę niemającą wymaganych uprawnień podlega dyspozytor pojazdu lub osoba, do której obowiązków należą jego czynności, a jeżeli takiej osoby nie wyznaczono - kierownik jednostki dysponującej pojazdem.
§ 3. Tej samej karze podlega, kto wbrew obowiązkowi nie wskaże na żądanie uprawnionego organu, komu powierzył pojazd do kierowania lub używania w oznaczonym czasie."
Art. 96a. Bezprawne posiadanie w pojeździe lub używanie sygnałów pojazdów uprzywilejowanych;"§ 1. Kto, nie będąc do tego uprawnionym, posiada w pojeździe urządzenia stanowiące obowiązkowe wyposażenie pojazdu uprzywilejowanego w ruchu, wysyłające sygnały świetlne w postaci niebieskich lub czerwonych świateł błyskowych albo sygnał dźwiękowy o zmiennym tonie, a także elementy oznakowania w postaci napisów,
podlega karze grzywny.
§ 2. Kto, nie będąc do tego uprawnionym, używa w pojeździe sygnałów świetlnych w postaci niebieskich lub czerwonych świateł błyskowych albo sygnału dźwiękowego o zmiennym tonie,
podlega karze aresztu do 14 dni albo grzywny.
§ 3. Urządzenia lub elementy oznakowania, o których mowa w § 1 i 2, podlegają przepadkowi, choćby nie stanowiły własności sprawcy."
Art. 96b. Nieuprawnione posługiwanie się kartą parkingową osoby niepełnosprawnej;"Kto, nie będąc do tego uprawnionym, posługuje się kartą parkingową, o której mowa w art. 8 karta parkingowa osoby niepełnosprawnej ustawy z dnia 20 czerwca 1997 r. – Prawo o ruchu drogowym (Dz. U. z 2023 r. poz. 1047, z późn. zm.),
podlega karze grzywny do 2.000 złotych."
Art. 96c. Nieprzestrzeganie zakazu wjazdu do strefy czystego transportu;Kto nie przestrzega zakazu wjazdu do strefy czystego transportu podlega karze grzywny do 500 złotych.
Art. 96d. Przekazywanie osobie nieuprawnionej dokumentów związanych z profesjonalną rejestracją pojazdów;Kto, działając w imieniu podmiotu uprawnionego, o którym mowa w art. 80s dowód rejestracyjny pojazdu i tablice rejestracyjne pojazdów ust. 2 ustawy z dnia 20 czerwca 1997 r. – Prawo o ruchu drogowym, przekazuje osobie nieuprawnionej blankiet profesjonalnego dowodu rejestracyjnego lub profesjonalny dowód rejestracyjny, lub profesjonalną tablicę rejestracyjną, podlega karze grzywny.
Art. 97. Naruszanie przepisów o ruchu drogowym;"Uczestnik ruchu lub inna osoba znajdująca się na drodze publicznej, w strefie zamieszkania lub strefie ruchu, a także właściciel lub posiadacz pojazdu, który wykracza przeciwko innym przepisom ustawy z dnia 20 czerwca 1997 r. – Prawo o ruchu drogowym lub przepisom wydanym na jej podstawie,
podlega karze grzywny do 3.000 złotych albo karze nagany."
Art. 97a. Naruszanie zakazów w zakresie przejazdu przez tory kolejowe;"Uczestnik ruchu lub inna osoba znajdująca się na drodze publicznej, w strefie zamieszkania lub strefie ruchu, a także kierujący pojazdem, który narusza zakaz:
1) objeżdżania opuszczonych zapór lub półzapór na przejeździe kolejowym, wjeżdżania na przejazd, jeśli opuszczanie zapór lub półzapór zostało rozpoczęte lub podnoszenie ich nie zostało zakończone, oraz wejścia lub wjazdu na przejazd kolejowy za sygnalizator lub za inne urządzenie nadające sygnały, przy sygnale czerwonym, czerwonym migającym lub dwóch na przemian migających sygnałach czerwonych,
2) wjeżdżania na przejazd kolejowy, jeśli po jego drugiej stronie nie ma miejsca do kontynuowania jazdy,
podlega karze aresztu, ograniczenia wolności albo grzywny w wysokości nie niższej niż 2000 złotych."
Art. 98. Niezachowanie przez prowadzącego pojazd należytej ostrożności na drogach wewnętrznych;"Kto, prowadząc pojazd poza drogą publiczną, strefą zamieszkania lub strefą ruchu, nie zachowuje należytej ostrożności, czym zagraża bezpieczeństwu innej osoby,
podlega karze grzywny albo karze nagany."
Art. 99. Niszczenie lub uszkadzanie drogi, urządzeń drogowych lub zasłon odśnieżnych;"§ 1. Kto:
1) (uchylony)
2) niszczy lub uszkadza drogę publiczną lub drogę w strefie zamieszkania, przynależności lub urządzenia drogowe,
3) usuwa lub niszczy zasłony odśnieżne
4) (uchylony)
podlega karze grzywny albo karze nagany.
§ 2. Tej samej karze podlega, kto przy zadrzewianiu lub zakrzewianiu albo przy prowadzeniu robót ziemnych nie zachowuje przepisowej odległości od linii kolejowych."
Art. 100. Niszczenie pasów drogowych, nawierzchni drogi, poboczy lub wypasanie zwierząt w pasie drogowym;"Kto:
1) zaorywa lub w inny sposób zwęża pas drogowy lub pas przydrożny,
2) włóczy po drodze publicznej lub porzuca na niej przedmioty albo używa pojazdów niszczących nawierzchnię drogi,
3) uszkadza rowy, skarpy nasypów lub wykopów albo samowolnie rozkopuje drogę publiczną,
4) wypasa zwierzę gospodarskie w pasie drogowym,
podlega karze grzywny do 1.000 złotych albo karze nagany."
Art. 101. Uchylanie się od obowiązku oczyszczania drogi publicznej;"Kto uchyla się od obowiązku oczyszczania i usuwania z odcinków dróg publicznych o twardej nawierzchni, przechodzących przez obszary o zabudowie ciągłej lub skupionej poza miastami i osiedlami, błota, kurzu, śniegu lub lodu,
podlega karze grzywny do 1.000 złotych albo karze nagany."
Art. 102. Uchylanie się od obowiązku utrzymywania w należytym stanie zjazdów z dróg publicznych;"Kto uchyla się od obowiązku utrzymania w należytym stanie zjazdów z dróg publicznych do przyległych nieruchomości,
podlega karze grzywny do 1.000 złotych albo karze nagany."
Art. 103. Uchylanie się od obowiązku świadczeń w przypadku zagrożenia przerwania komunikacji;"Kto bez ważnej przyczyny uchyla się od nałożonego obowiązku świadczeń osobistych lub rzeczowych, mających na celu zwalczanie zagrożenia przerwania komunikacji na skutek zasp śnieżnych, powodzi lub usuwisk, albo wykonuje te świadczenia nienależycie,
podlega karze grzywny albo karze nagany."
Art. 103a. Uchylony;
Art. 104. Skłanianie do żebrania;"Kto skłania do żebrania małoletniego lub osobę bezradną albo pozostającą w stosunku zależności od niego lub oddaną pod jego opiekę,
podlega karze aresztu, ograniczenia wolności albo grzywny."
Art. 105. Naruszenie obowiązków rodzicielskich lub opiekuńczych;"§ 1. Kto przez rażące naruszenie obowiązków wynikających z władzy rodzicielskiej dopuszcza do popełnienia przez nieletniego czynu zabronionego przez ustawę jako przestępstwo, w tym i przestępstwo skarbowe, wykroczenie lub wykroczenie skarbowe i wskazującego na demoralizację nieletniego,
podlega karze grzywny albo karze nagany.
§ 2. Jeżeli czyn określony w § 1 popełnia osoba, pod której nadzór odpowiedzialny oddano nieletniego,
podlega karze ograniczenia wolności, grzywny albo karze nagany.
§ 3. W wypadkach określonych w § 1 i 2, jeżeli nieletni czynem swym wyrządził szkodę, można orzec nawiązkę do wysokości 1.000 złotych."
Art. 106. Dopuszczenie do przebywania w okolicznościach niebezpiecznych małoletniego lub osoby pod opieką lub nadzorem;Kto, mając obowiązek opieki lub nadzoru nad małoletnim do lat 7 albo nad inną osobą niezdolną rozpoznać lub obronić się przed niebezpieczeństwem, dopuszcza do jej przebywania w okolicznościach niebezpiecznych dla zdrowia człowieka, podlega karze grzywny albo karze nagany.
Art. 107. Złośliwe wprowadzanie w błąd lub złośliwe niepokojenie innej osoby;"Kto w celu dokuczenia innej osobie złośliwie wprowadza ją w błąd lub w inny sposób złośliwie niepokoi,
podlega karze ograniczenia wolności, grzywny albo karze nagany."
Art. 107a. Udaremnianie lub utrudnianie transmisji danych prowadzonej przy użyciu systemu teleinformatycznego;"§ 1. Kto, włączając się bez uprawnienia w transmisję danych prowadzoną przy użyciu systemu teleinformatycznego, umyślnie udaremnia lub utrudnia użytkownikowi tego systemu przekazywanie lub odbiór informacji,
podlega karze ograniczenia wolności albo grzywny nie niższej niż 1000 złotych.
§ 2. Jeżeli sprawca czynu określonego w § 1 używa słów powszechnie uznanych za obelżywe lub w inny sposób dopuszcza się nieobyczajnego wybryku, podlega karze aresztu, ograniczenia wolności albo karze grzywny nie niższej niż 3000 złotych."
Art. 108. Szczucie psem człowieka;"Kto szczuje psem człowieka,
podlega karze ograniczenia wolności, grzywny albo karze nagany."
Art. 109. Zanieczyszczanie wody;"§ 1. Kto:
1) zanieczyszcza wodę przeznaczoną do spożycia przez ludzi, lub
2) dostarcza wodę przeznaczoną do spożycia przez ludzi, nie spełniając wymagań określonych w przepisach o zbiorowym zaopatrzeniu w wodę i zbiorowym odprowadzaniu ścieków, lub
3) nie będąc do tego uprawnionym, dostarcza wodę przeznaczoną do spożycia przez ludzi w myśl przepisów o zbiorowym zaopatrzeniu w wodę i zbiorowym odprowadzaniu ścieków, podlega karze grzywny albo karze nagany.
§ 2. Kto zanieczyszcza wodę służącą do pojenia zwierząt, znajdującą się poza urządzeniami przeznaczonymi do zaopatrywania ludności w wodę,
podlega karze grzywny do 1.500 złotych albo karze nagany.
§ 3. Tej samej karze podlega, kto umyślnie zanieczyszcza wodę w pływalni, kąpielisku lub w innym obiekcie o podobnym przeznaczeniu lub dostarcza do tych obiektów wodę niespełniającą wymagań określonych w przepisach o zbiorowym zaopatrzeniu w wodę i zbiorowym odprowadzaniu ścieków."
Art. 110. Zatrudnianie na stanowisku pracy nieodpowiednim ze względu na stan zdrowia osoby;"Kto zatrudnia przy pracy, przy wykonywaniu której istnieje możliwość przeniesienia zakażenia na inne osoby, osobę, która ze względu na stan zdrowia potwierdzony aktualnymi badaniami dla celów sanitarno-epidemiologicznych, w rozumieniu przepisów o zapobieganiu oraz zwalczaniu zakażeń i chorób zakaźnych u ludzi, nie może być zatrudniona przy tego rodzaju pracy lub której stan zdrowia utrudnia utrzymanie higieny osobistej,
podlega karze grzywny."
Art. 111. Niedopełnienie obowiązku zapewnienia należytego stanu sanitarnego w produkcji lub w obrocie środkami spożywczymi;"§ 1. Kto nie dopełnia obowiązku zapewnienia należytego stanu sanitarnego, zwłaszcza w zakresie utrzymania czystości oraz używania przez pracowników wymaganego ubioru:
1) w zakładzie produkującym lub wprowadzającym do obrotu środki spożywcze,
2) w miejscu uzyskiwania mleka,
podlega karze grzywny.
§ 2. Tej samej karze podlega, kto nie zachowuje należytej czystości w produkcji lub w obrocie środkami spożywczymi."
Art. 112. Uchylony;
Art. 113. Niezachowanie należytej czystości przy świadczeniu usług;"Kto nie zachowuje należytej czystości przy świadczeniu usług w zakładach żywienia zbiorowego, w kąpieliskach, zakładach fryzjerskich, kosmetycznych, pralniczych lub noclegowych albo kto dopuszcza do takich czynności osobę dotkniętą chorobą zakaźną,
podlega karze grzywny."
Art. 114. Odmowa udzielenia wyjaśnień organowi służby zdrowia;"Kto odmawia udzielenia organowi służby zdrowia wyjaśnień mogących mieć znaczenie dla wykrycia gruźlicy, choroby wenerycznej lub innej choroby zakaźnej lub źródła zakażenia albo dla zapobiegania szerzeniu się takich chorób,
podlega karze grzywny albo karze nagany."
Art. 115. Niepoddanie się obowiązkowemu szczepieniu lub badaniu stanu zdrowia;"§ 1. Kto, pomimo zastosowania środków egzekucji administracyjnej, nie poddaje się obowiązkowemu szczepieniu ochronnemu przeciwko gruźlicy lub innej chorobie zakaźnej albo obowiązkowemu badaniu stanu zdrowia, mającemu na celu wykrycie lub leczenie gruźlicy, choroby wenerycznej lub innej choroby zakaźnej,
podlega karze grzywny do 1.500 złotych albo karze nagany.
§ 2. Tej samej karze podlega, kto, sprawując pieczę nad osobą małoletnią lub bezradną, pomimo zastosowania środków egzekucji administracyjnej, nie poddaje jej określonemu w § 1 szczepieniu ochronnemu lub badaniu."
Art. 116. Nieprzestrzeganie nakazu, zakazu lub obowiązku przez chorego lub nosiciela choroby zakaźnej albo osoby sprawującej nad nimi pieczę;"§ 1. Kto, wiedząc o tym, że:
1) jest chory na gruźlicę, chorobę weneryczną lub inną chorobę zakaźną albo podejrzany o tę chorobę,
2) styka się z chorym na chorobę określoną w pkt 1 lub z podejrzanym o to, że jest chory na gruźlicę lub inną chorobę zakaźną,
3) jest nosicielem choroby określonej w pkt 1 lub podejrzanym o nosicielstwo
- nie przestrzega zakazu, nakazu, ograniczenia lub obowiązku, określonego w przepisach o zapobieganiu oraz zwalczaniu zakażeń i chorób zakaźnych u ludzi lub w przepisach o Państwowej Inspekcji Sanitarnej lub nie przestrzega decyzji wydanej na podstawie tych przepisów przez organy inspekcji sanitarnej, podlega karze grzywny albo karze nagany.
§ 1a. Kto nie przestrzega zakazu, nakazu, ograniczenia lub obowiązku, określonego w przepisach o zapobieganiu oraz zwalczaniu zakażeń i chorób zakaźnych u ludzi,
podlega karze grzywny albo karze nagany.
§ 2. Tej samej karze podlega, kto, sprawując pieczę nad osobą małoletnią lub bezradną, nie dopełnia obowiązku spowodowania, aby osoba ta zastosowała się do zakazu, nakazu, ograniczenia, obowiązku lub decyzji, o których mowa w § 1 i 1a."
Art. 117. Niewykonywanie obowiązków w zakresie utrzymywania czystości i porządku;"§ 1. Kto, mając obowiązek utrzymania czystości i porządku w obrębie nieruchomości, nie wykonuje swoich obowiązków lub nie stosuje się do wskazań i nakazów wydanych przez właściwe organy w celu zabezpieczenia należytego stanu sanitarnego i zwalczania chorób zakaźnych, podlega karze grzywny do 1.500 złotych albo karze nagany.
§ 2. Tej samej karze podlega przewoźnik obowiązany do zapewnienia podróżnym odpowiednich warunków higieny, który nie utrzymuje środka transportu we właściwym stanie sanitarnym."
Art. 118. Nieprzestrzeganie przepisów o uboju zwierząt i wprowadzaniu mięsa do obrotu;"§ 1. Kto:
1) dokonuje uboju zwierzęcia bez wymaganego zezwolenia lub niezgodnie z warunkami określonymi w tym zezwoleniu,
2) usuwa części zwierzęcia przed wykonaniem wymaganego badania po uboju,
3) nie poddaje mięsa badaniu, jeżeli takie badanie jest wymagane
- podlega karze grzywny.
§ 2. Kto wprowadza do obrotu mięso:
1) bez wymaganego oznakowania i świadectwa,
2) warunkowo zdatne do spożycia lub niezdatne do spożycia, wbrew określonemu sposobowi jego wykorzystania
- podlega karze aresztu albo grzywny.
§ 3. W razie popełnienia wykroczenia określonego w § 1 i 2, można orzec przepadek mięsa, chociażby nie stanowiło własności sprawcy wykroczenia."
Art. 119. Kradzież lub przywłaszczenie cudzej rzeczy ruchomej;"§ 1. Kto kradnie lub przywłaszcza sobie cudzą rzecz ruchomą, jeżeli jej wartość nie przekracza 800 złotych,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Usiłowanie, podżeganie i pomocnictwo są karalne.
§ 3. Jeżeli sprawca czynu określonego w § 1 dopuścił się go na szkodę osoby najbliższej, ściganie następuje na żądanie pokrzywdzonego.
§ 4. W razie popełnienia wykroczenia określonego w § 1, można orzec obowiązek zapłaty równowartości ukradzionego lub przywłaszczonego mienia, jeżeli szkoda nie została naprawiona."
Art. 120. Wyrąb drzewa w lesie w celu przywłaszczenia albo kradzież lub przywłaszczenie drzewa z lasu;"§ 1. Kto w celu przywłaszczenia dopuszcza się wyrębu drzewa w lesie albo kradnie lub przywłaszcza sobie z lasu drzewo wyrąbane lub powalone, jeżeli wartość drzewa nie przekracza 800 złotych,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Usiłowanie oraz podżeganie i pomocnictwo są karalne.
§ 3. W razie popełnienia wykroczenia określonego w § 1 orzeka się nawiązkę w wysokości podwójnej wartości wyrąbanego, ukradzionego lub przywłaszczonego drzewa, a ponadto, jeżeli ukradzione lub przywłaszczone drzewo nie zostało odebrane, orzeka się obowiązek zapłaty jego równowartości."
Art. 121. Wyłudzenie przejazdu środkiem lokomocji lub pożywienia i napoju w zakładzie żywienia zbiorowego albo innego płatnego świadczenia;"§ 1. Kto, pomimo nieuiszczenia dwukrotnie nałożonej na niego kary pieniężnej określonej w taryfie, po raz trzeci w ciągu roku bez zamiaru uiszczenia należności wyłudza przejazd koleją lub innym środkiem lokomocji,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Tej samej karze podlega, kto bez zamiaru uiszczenia należności wyłudza pożywienie lub napój w zakładzie żywienia zbiorowego, przejazd środkiem lokomocji należącym do przedsiębiorstwa niedysponującego karami pieniężnymi określonymi w taryfie, wstęp na imprezę artystyczną, rozrywkową lub sportową, działanie automatu lub inne podobne świadczenie, o którym wie, że jest płatne.
§ 3. W razie popełnienia wykroczenia określonego w § 2 można orzec obowiązek zapłaty równowartości wyłudzonego mienia."
